Book ID,Title,Author,Image URL,Book URL,Description,Age,Genres
11,Աննալների դպրոցը,Սմբատ Հովհաննիսյան,https://zangakbookstore.am/media/products/300x0/22eae12639a1efac0f0b4e85c2dbfce9.jpg,https://zangakbookstore.am/annalneri-dprotsy,"ենագրությունը նվիրված է XX դարի արևմտյան պատմագիտության մեջ բեկում մտցրած ֆրանսիական Աննալների դպրոցի պատմությանը։ Պատմական գիտելիքների ընդհանուր զարգացման համատեքստում վեր են հանվում Աննալների դպրոցի ավանդույթի ձևավորման պայմաններն ու ակունքները։ Աննալների դպրոցի ծագման և զարգացման օրինակով վերլուծվում են աննալականների դասական հայեցակարգերի ձևավորումը և այլացումը, տարաբնույթ թեմատիկ և մեթոդական նախասիրություններն ու արդի պատմագիտության մի շարք հարացույցների կայացումը:",16.0,"Պատմական գեղարվեստական գրականություն, Երիտասարդական"
12,Արիության մետաղ,Սյունե Սևադա,https://zangakbookstore.am/media/products/300x0/df6108b4807537465e611c6d1239ae17.jpg,https://zangakbookstore.am/ariutyan-metakh,"Մնալ ցավի մե՞ջ, թե՞ դուրս գալ թեկուզ սողալով։ Անցյալը բերե՞լ ներկա՝ փորձելով լուծումներ գտնել, թե՞ փակել ու շարժվել առաջ։ Որոշ իրավիճակներում այս հարցերի պատասխանները հստակ չեն, ու թվում է՝ հուշերի խեղդող ալիքներն արդեն հեռվում են, բայց հանկարծ պարզվում է, որ դառը օրերի համառ ու սառը ցնցուղը մշտապես գլխավերևում է՝ պատրաստ փայտացնել կամ էլ... սթափեցնել։Որտե՞ղ սկսվեց ու որտե՞ղ կավարտվի ներքին կռիվը։ Այս հարցերի պատասխաններն են փնտրում «Արիության մետաղ» վեպի հերոսները, որոնք այսօր բախվել են անցյալի ծանր փորձություններին, որոշումներին ու թուլություններին և պետք է հասկանան, թե ինչ է պետք անել ապագայի հետ։Այս վեպը փորձում է հիշեցնել, որ ամեն ոք իր ներսում ունի արիության սեփական մետաղը, բայց թե ինչպես այն կկիրառի, ի՛ր ընտրությունն է։Գլխավոր գործընկեր՝ «Սպարսիս» ընկերություն։",16.0,"Դրամա, Թրիլլեր"
13,Հայելիս,Ավետ Բարսեղյան,https://zangakbookstore.am/media/products/300x0/051890470356aa0cee973a5a0956c30c.jpg,https://zangakbookstore.am/hayelis,"«Հայելիս» բանաստեղծությունների ժողովածուն Ավետ Բարսեղյանի անդրանիկ գիրքն է: Գրքում յուրաքանչյուր տող ինքնաբացահայտման փորձ է, որը ընթերցողին հնարավորություն է տալիս նայել մարդուն, կյանքին և սիրուն Ավետի հայացքով։ Գիրքը բացահայտում է հեղինակի հոգու ամենանուրբ անկյունները՝ անկեղծությամբ և առանց զարդարանքի։ «Ազնիվ»` այդպես է բնորոշում Ավետի պոեզիան Ընթերցողը։",16.0,"Պոեզիա, Ռոմանս"
14,Վերջին կարմիր շրթներկը,,https://zangakbookstore.am/media/products/300x0/9237dc9e62d755b1c1463520ba71ee27.jpg,https://zangakbookstore.am/verjin-karmir-shrtnerky,"Արցախի հայաթափման հաջորդող տարում Ծովինար Բարխուդարյանը բազմաթիվ վկայություններ է հավաքել՝ ցնցող, ցավեցնող, սարսափելի, հուզիչ, ապրելու ուժ տվող։ Մեկ գրքում Ծովինարն ամփոփել է իր և 12 կանանց ճշմարտությունը, պատմել իրենց ցավն աննկարագրելի արժանապատվությամբ կրող մարդկանց մասին։ Գիրքն ականատեսի ճշգրիտ, փաստական վկայությունների և հուզիչ համալրումների ամբողջացում է։ Հեղինակը պատմում է սեփական ու արցախցի իր հայրենակիցների պատմությունը՝ նկարագրելով արցախցու անկոտրում կամքը և ծանր գաղթի մղձավանջային ճանապարհը։",16.0,"Կենսագրություն, Թրիլլեր"
15,Հրաժեշտի աչքերը,Հերմինե Ավագյան,https://zangakbookstore.am/media/products/300x0/19343a35a8d28880a986e7304b0ffd14.jpg,https://zangakbookstore.am/hrazheshti-achqery,"Մարդկային խեղված ճակատագրեր, ժամանակից շուտ մեծացած երեխաներ, հայրենի տունը լքելու պարտադրանք, կարոտ. սա այն է, ինչ իր հետ բերում է պատերազմը։ Այն մարդիկ, ովքեր անցել են այս ամենի միջով, շատ նման են իրար. նրանց հոգիներում դատարկ անկյուններ կան, որոնք ոչ մի բանով հնարավոր չէ լրացնել, ամբողջացնել։  Պատերազմից հետո մնում է ծանր լռություն, որով իրար հետ հաղորդակցվում են երազանքները կորցրած մարդիկ։ Նրանք իրար հետ խոսում են աչքերով, որովհետև ընկերոջ, հարևանի, որդու, ամուսնու հայացքում նրանք ամեն օր գտնում են իրենց հիշատակները, կորուստները և խաղաղության հավատը:",16.0,"Դրամա, Թրիլլեր"
16,Տարզան,Էդգար Ռայս Բերրոուզ,https://zangakbookstore.am/media/products/300x0/0caa5079a118f0d44d146cf7012af463.jpg,https://zangakbookstore.am/tarzan,"«Արկածային գրադարան» շարքով լույս է տեսել «Տարզան. Կապիկների որդեգիրը» գիրքը, որը ամերիկացի գրող
Էդգար Ռայս Բերրոուզի (1875-1950) ստեղծած Տարզանի՝ մարդ-կապիկի մասին պատմող վիպաշարի (քսաներկու պատմություններ)
առաջին գիրքն է, որում պատմվում է անգլիացի մի ազնվականի որդու՝ Ջոն Գրեյսթոքի (նույն ինքը՝ Տարզանի) կյանքի պատմությունը
լույս աշխարհ գալու պահից  մինչև քաղաքակրթության մեջ հայտնվելը: 
Նա անակնկալ սիրո ազդեցության ներքո աստիճանաբար վերածվում է իսկական ջենթլմենի: 
Արձակագիրը միաժամանակ հմտորեն ներկայացնում է նաև տվյալ ժամանակաշրջանին բնորոշ քաղաքական իրավիճակը:
Նա բավական ուշագրավ ու մանրամասն պատկերել է աֆրիկյան ջունգլիների տարօրինակ ու յուրօրինակ կյանքը, ներկայացրել 
մարդանման կապիկներին բնորոշ սովորությունները, զգացմունքային աշխարհն ու վայրենիների նիստուկացը:",12.0,"Կենսագրություն, Դրամա"
17,ա-մսագիր / #20(26) /2024,,https://zangakbookstore.am/media/products/300x0/797e807dd8b128ffb07746959658eb40.jpeg,https://zangakbookstore.am/a-msagir-2026-2024,,16.0,Unknown
18,Վերադարձություն,,https://zangakbookstore.am/media/products/300x0/25047e60e06994f6e2ed718b6e08442c.jpg,https://zangakbookstore.am/veradardzutyun,,16.0,Unknown
19,Հովհաննես Թումանյան ...մի ճամփորդ է իմ հոգին,Հովհաննես Թումանյան,https://zangakbookstore.am/media/products/300x0/294d3601ca98323349d1f8ec444ed949.jpg,https://zangakbookstore.am/hovhannes-tumanyan-mi-champord-e-im-hogin,"«Զանգակ» և «Ակտուալ արվեստ» հրատարակչությունները համատեղ լույս են ընծայել Հովհաննես Թումանյանի հիշատակի 100-րդ տարելիցին նվիրված  «Հովհաննես Թումանյան․ մի ճամփորդ է իմ հոգին։ Հարյուր և մեկ ստեղծագործական ակնթարթ» գիրքը։

Առաջին անգամ ժողովածուում մեկտեղվում են բանաստեղծի միայն այն գործերն ու առանձին հատվածներ, որոնք գրականագետները հաճախ անվանում են «խոհափիլիսոփայական»։

Հովհաննես Թումանյանի մահվանը հաջորդող 100 և ավելի տարիներից ոչ մեկը  չի եղել առանց նրա կյանքի ու ստեղծագործության մասին որեւէ անդրադարձի և դրանց հետագիծը գրքի այս բաժիններից մեկն է:

Բանաստեղծություններին զուգահեռ գրքի երրորդ բաժնում ընթերցողը կգտնի Հովհաննես Թումանյանի այս կամ այն ստեղծագործությանը ծնունդ տված դիպվածներ, կամ բովանդակային առումով դրանց առնչվող հեղինակային մտորումներ:",16.0,"Պոեզիա, Դրամա"
20,Զահրատ․ Կիկոյի հետ առաջ ու հետ,Զահրատ,https://zangakbookstore.am/media/products/300x0/40828eaa01e0b6fad966f3ea9389de94.jpg,https://zangakbookstore.am/zahrat-kikoyi-het-araj-u-het,,16.0,Unknown
